Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
UBC,Ubiquitin C,Protein Coding,50,GC12M124911,3.693528891,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBC
FOXO3,Forkhead Box O3,Protein Coding,53,GC06P108559,3.64758873,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO3
H4C16,H4 Histone 16,Protein Coding,42,GC12M023548,3.638427258,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C16
BACH1,BTB Domain And CNC Homolog 1,Protein Coding,48,GC21P029194,3.624252796,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACH1
TP63,Tumor Protein P63,Protein Coding,53,GC03P189598,3.624114513,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP63
FZR1,Fizzy And Cell Division Cycle 20 Related 1,Protein Coding,48,GC19P003506,3.621151209,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZR1
MT-RNR1,Mitochondrially Encoded 12S RRNA,RNA Gene,18,GCMTP000642,3.522842646,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-RNR1
IFNB1,Interferon Beta 1,Protein Coding,50,GC09M021077,3.521284342,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNB1
TAGLN,Transgelin,Protein Coding,50,GC11P117199,3.520333767,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAGLN
PARP1,Poly(ADP-Ribose) Polymerase 1,Protein Coding,58,GC01M226360,3.515683174,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1
MIR22,MicroRNA 22,RNA Gene,23,GC17M001713,3.514550686,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22
CCND1,Cyclin D1,Protein Coding,60,GC11P069641,3.426698446,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1
MAP2K4,Mitogen-Activated Protein Kinase Kinase 4,Protein Coding,53,GC17P012020,3.402453899,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K4
IGFBP5,Insulin Like Growth Factor Binding Protein 5,Protein Coding,49,GC02M216672,3.385284424,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP5
HMGA1,High Mobility Group AT-Hook 1,Protein Coding,53,GC06P096200,3.383372068,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGA1
HSF1,Heat Shock Transcription Factor 1,Protein Coding,53,GC08P144291,3.372350693,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSF1
EP400,E1A Binding Protein P400,Protein Coding,42,GC12P131949,3.347919941,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP400
MAPK9,Mitogen-Activated Protein Kinase 9,Protein Coding,56,GC05M180266,3.345355034,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK9
MAPKAPK5,MAPK Activated Protein Kinase 5,Protein Coding,52,GC12P111842,3.345355034,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPKAPK5
NOS3,Nitric Oxide Synthase 3,Protein Coding,56,GC07P151271,3.344080448,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3
PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,60,GC03P012287,3.337892532,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG
H3-3A,H3.3 Histone A,Protein Coding,48,GC01P226062,3.336919308,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3-3A
CABIN1,Calcineurin Binding Protein 1,Protein Coding,47,GC22P024011,3.336919308,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CABIN1
CDK1,Cyclin Dependent Kinase 1,Protein Coding,54,GC10P060772,3.277890205,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1
KNDC1,Kinase Non-Catalytic C-Lobe Domain Containing 1,Protein Coding,42,GC10P133161,3.270401955,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNDC1
KIR2DL4,"Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Long Cytoplasmic Tail 4",Protein Coding,45,GC19P076846,3.263260841,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DL4
PIM1,"Pim-1 Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,56,GC06P096245,3.257097721,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIM1
NBN,Nibrin,Protein Coding,55,GC08M089933,3.256985903,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN
PRKCD,Protein Kinase C Delta,Protein Coding,59,GC03P053156,3.255671978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCD
MAP2K3,Mitogen-Activated Protein Kinase Kinase 3,Protein Coding,56,GC17P065982,3.229089499,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K3
MAPK11,Mitogen-Activated Protein Kinase 11,Protein Coding,54,GC22M050263,3.229089499,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK11
STAT1,Signal Transducer And Activator Of Transcription 1,Protein Coding,60,GC02M190908,3.228964567,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1
IFNG,Interferon Gamma,Protein Coding,57,GC12M068154,3.223811626,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG
OPA1,OPA1 Mitochondrial Dynamin Like GTPase,Protein Coding,51,GC03P193594,3.217927933,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPA1
CLU,Clusterin,Protein Coding,54,GC08M027596,3.207355499,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLU
DNM1L,Dynamin 1 Like,Protein Coding,54,GC12P032679,3.204591274,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM1L
EGF,Epidermal Growth Factor,Protein Coding,57,GC04P109912,3.190511703,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF
ETS2,"ETS Proto-Oncogene 2, Transcription Factor",Protein Coding,48,GC21P038805,3.174555779,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETS2
GLB1,Galactosidase Beta 1,Protein Coding,55,GC03M032963,3.161849022,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLB1
H4C1,H4 Clustered Histone 1,Protein Coding,42,GC06P095882,3.157188416,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C1
KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,59,GC12M025204,3.142624378,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS
RARB,Retinoic Acid Receptor Beta,Protein Coding,56,GC03P024689,3.133525848,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARB
TCF7L1,Transcription Factor 7 Like 1,Protein Coding,48,GC02P085133,3.125124693,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L1
UBE2D1,Ubiquitin Conjugating Enzyme E2 D1,Protein Coding,51,GC10P058334,3.102086782,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D1
CCNE2,Cyclin E2,Protein Coding,46,GC08M094879,3.102086782,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNE2
CPT1C,Carnitine Palmitoyltransferase 1C,Protein Coding,50,GC19P049690,3.100512028,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT1C
TGFB1I1,Transforming Growth Factor Beta 1 Induced Transcript 1,Protein Coding,48,GC16P043933,3.096526146,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1I1
DUSP6,Dual Specificity Phosphatase 6,Protein Coding,55,GC12M089347,3.09267354,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP6
MAP2K6,Mitogen-Activated Protein Kinase Kinase 6,Protein Coding,53,GC17P069414,3.091177225,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K6
JUNB,"JunB Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,48,GC19P012791,3.086425304,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUNB
KAT5,Lysine Acetyltransferase 5,Protein Coding,57,GC11P065711,3.084810734,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT5
CHEK2,Checkpoint Kinase 2,Protein Coding,61,GC22M028687,3.081380367,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2
MAGEA2B,MAGE Family Member A2B,Protein Coding,34,GC0XP152714,3.080015659,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEA2B
MAGEA2,MAGE Family Member A2,Protein Coding,33,GC0XM152749,3.080015659,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEA2
SMC5,Structural Maintenance Of Chromosomes 5,Protein Coding,44,GC09P070258,3.074688911,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC5
SMC6,Structural Maintenance Of Chromosomes 6,Protein Coding,42,GC02M017663,3.074688911,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC6
PHB2,Prohibitin 2,Protein Coding,49,GC12M006965,3.034795761,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHB2
VENTX,VENT Homeobox,Protein Coding,40,GC10P133238,3.030277014,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VENTX
EGFR,Epidermal Growth Factor Receptor,Protein Coding,62,GC07P055019,3.007171154,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR
CDK5,Cyclin Dependent Kinase 5,Protein Coding,60,GC07M151053,3.006508827,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5
ELAVL1,ELAV Like RNA Binding Protein 1,Protein Coding,47,GC19M007958,3.006508827,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAVL1
HNRNPA1,Heterogeneous Nuclear Ribonucleoprotein A1,Protein Coding,55,GC12P054280,3.003126383,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA1
YAP1,Yes1 Associated Transcriptional Regulator,Protein Coding,55,GC11P102110,2.983575106,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YAP1
ID2,Inhibitor Of DNA Binding 2,Protein Coding,50,GC02P008678,2.980753183,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID2
IFI27,Interferon Alpha Inducible Protein 27,Protein Coding,44,GC14P094104,2.970119953,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFI27
PRMT6,Protein Arginine Methyltransferase 6,Protein Coding,47,GC01P107056,2.970103741,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT6
SIRT3,Sirtuin 3,Protein Coding,54,GC11M000215,2.969283342,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT3
BRCA1,BRCA1 DNA Repair Associated,Protein Coding,56,GC17M043044,2.939970255,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,54,GC14P061695,2.923573017,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A
PIK3CG,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma",Protein Coding,55,GC07P106865,2.895673037,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG
CBX4,Chromobox 4,Protein Coding,47,GC17M079833,2.894101858,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBX4
HELLS,"Helicase, Lymphoid Specific",Protein Coding,52,GC10P095717,2.882130384,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HELLS
E2F2,E2F Transcription Factor 2,Protein Coding,47,GC01M023840,2.875634432,https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F2
CBX8,Chromobox 8,Protein Coding,44,GC17M079794,2.838130713,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBX8
